date_from,date_to,tier,map,legend,abi_1,abi_2,charm_1,charm_2,match_count,win_count
2023-11-05,2023-11-12,silver3,4007,105,5,4,1,2,1,0
2023-11-05,2023-11-12,silver3,4009,105,5,4,1,2,1,0
2023-11-05,2023-11-12,silver3,4003,105,5,4,2,6,1,0
2023-11-05,2023-11-12,silver3,4009,105,5,4,3,2,1,0
2023-11-05,2023-11-12,silver3,4007,105,5,4,3,2,2,2
2023-11-05,2023-11-12,silver3,4003,105,5,4,3,2,1,0
2023-11-05,2023-11-12,silver3,4006,105,5,4,3,2,1,0
2023-11-05,2023-11-12,silver3,4005,105,5,4,3,2,1,0
2023-11-05,2023-11-12,silver3,4005,106,0,0,4,1,1,0
2023-11-05,2023-11-12,silver3,4007,106,0,0,5,1,2,0
2023-11-05,2023-11-12,silver3,4006,106,0,0,5,1,1,0
2023-11-05,2023-11-12,silver3,4008,106,0,0,5,1,1,0
2023-11-05,2023-11-12,silver3,4003,106,1,2,1,4,1,0
2023-11-05,2023-11-12,silver3,4005,106,1,2,2,1,1,0
2023-11-05,2023-11-12,silver3,4006,106,1,2,3,4,1,0
2023-11-05,2023-11-12,silver3,4006,106,1,4,5,4,1,0
2023-11-05,2023-11-12,silver3,4006,106,1,5,1,4,1,0
2023-11-05,2023-11-12,silver3,4005,106,2,1,3,2,2,1
2023-11-05,2023-11-12,silver3,4007,106,2,1,3,2,1,0
2023-11-05,2023-11-12,silver3,4007,106,4,3,4,1,1,0
2023-11-05,2023-11-12,silver3,4008,106,4,5,1,4,1,0
2023-11-05,2023-11-12,silver3,4007,106,4,5,3,2,1,0
2023-11-05,2023-11-12,silver3,4005,106,5,1,2,4,1,0
2023-11-05,2023-11-12,silver3,4009,106,5,2,1,5,1,0
2023-11-05,2023-11-12,silver3,4007,106,5,3,3,2,1,0
2023-11-05,2023-11-12,silver3,4006,108,1,2,2,1,1,0
2023-11-05,2023-11-12,silver3,4003,108,1,2,4,3,1,0
2023-11-05,2023-11-12,silver3,4008,108,1,2,6,3,1,0
2023-11-05,2023-11-12,silver3,4009,108,1,5,1,2,1,0
2023-11-05,2023-11-12,silver3,4008,108,1,5,1,2,1,0
2023-11-05,2023-11-12,silver3,4006,108,1,5,2,1,1,0
2023-11-05,2023-11-12,silver3,4005,108,1,5,5,3,2,0
2023-11-05,2023-11-12,silver3,4008,108,1,5,5,3,1,0
2023-11-05,2023-11-12,silver3,4006,108,1,5,5,3,2,0
2023-11-05,2023-11-12,silver3,4009,108,1,5,6,2,2,1
2023-11-05,2023-11-12,silver3,4008,108,1,5,6,4,1,0
2023-11-05,2023-11-12,silver3,4007,108,2,1,2,1,1,0
2023-11-05,2023-11-12,silver3,4009,108,2,1,2,1,1,0
2023-11-05,2023-11-12,silver3,4008,108,2,5,3,5,1,0
2023-11-05,2023-11-12,silver3,4003,108,5,1,4,2,1,0
2023-11-05,2023-11-12,silver3,4006,108,5,1,4,2,1,0
2023-11-05,2023-11-12,silver3,4007,108,5,2,3,6,1,0
2023-11-05,2023-11-12,silver3,4003,108,5,2,6,1,1,1
2023-11-05,2023-11-12,silver3,4008,108,5,3,3,2,1,0
2023-11-05,2023-11-12,silver3,4008,110,1,4,2,4,1,1
2023-11-05,2023-11-12,silver3,4006,111,1,2,1,4,1,0
2023-11-05,2023-11-12,silver3,4008,111,1,5,2,4,1,1
2023-11-05,2023-11-12,silver3,4005,111,1,5,2,4,1,0
2023-11-05,2023-11-12,silver3,4005,111,3,2,3,6,1,0
2023-11-05,2023-11-12,silver3,4009,111,4,3,3,6,1,0
2023-11-05,2023-11-12,silver3,4008,111,4,3,3,6,1,0
2023-11-05,2023-11-12,silver3,4006,111,5,3,3,6,1,0
2023-11-05,2023-11-12,silver3,4003,112,1,2,1,5,1,0
2023-11-05,2023-11-12,silver3,4003,112,5,2,5,2,1,0
2023-11-05,2023-11-12,silver3,4007,113,1,5,2,6,1,0
2023-11-05,2023-11-12,silver3,4006,113,5,1,2,5,1,0
2023-11-05,2023-11-12,silver3,4003,114,1,0,4,6,1,1
2023-11-05,2023-11-12,silver3,4009,114,1,0,4,6,1,0
2023-11-05,2023-11-12,silver3,4007,114,1,0,4,6,1,1
2023-11-05,2023-11-12,silver3,4008,114,1,2,1,4,1,1
2023-11-05,2023-11-12,silver3,4009,114,1,2,1,4,1,1
2023-11-05,2023-11-12,silver3,4009,114,1,2,2,5,1,0
2023-11-05,2023-11-12,silver3,4008,114,1,2,2,5,1,1
2023-11-05,2023-11-12,silver3,4003,114,1,2,2,5,2,1
2023-11-05,2023-11-12,silver3,4003,114,1,2,3,2,1,0
2023-11-05,2023-11-12,silver3,4005,114,1,2,4,6,1,0
2023-11-05,2023-11-12,silver3,4003,114,1,3,1,2,1,1
2023-11-05,2023-11-12,silver3,4009,114,1,3,1,2,2,0
2023-11-05,2023-11-12,silver3,4007,114,1,3,1,2,1,0
2023-11-05,2023-11-12,silver3,4003,114,1,5,1,4,1,1
2023-11-05,2023-11-12,silver3,4006,114,1,5,1,6,1,1
2023-11-05,2023-11-12,silver3,4008,114,1,5,1,6,7,2
2023-11-05,2023-11-12,silver3,4009,114,1,5,1,6,1,0
2023-11-05,2023-11-12,silver3,4005,114,1,5,1,6,1,0
2023-11-05,2023-11-12,silver3,4003,114,1,5,1,6,2,2
2023-11-05,2023-11-12,silver3,4007,114,1,5,1,6,2,0
2023-11-05,2023-11-12,silver3,4003,114,1,5,4,2,1,0
2023-11-05,2023-11-12,silver3,4007,114,1,5,4,2,1,1
2023-11-05,2023-11-12,silver3,4005,114,2,5,6,1,1,1
2023-11-05,2023-11-12,silver3,4003,114,3,2,3,1,1,0
2023-11-05,2023-11-12,silver3,4007,114,3,2,6,5,1,1
2023-11-05,2023-11-12,silver3,4005,114,3,2,6,5,1,0
2023-11-05,2023-11-12,silver3,4007,114,4,5,4,1,1,0
2023-11-05,2023-11-12,silver3,4006,114,4,5,4,1,1,0
2023-11-05,2023-11-12,silver3,4009,114,5,1,3,6,1,1
2023-11-05,2023-11-12,silver3,4003,114,5,1,3,6,1,1
2023-11-05,2023-11-12,silver3,4008,114,5,1,4,2,2,0
2023-11-05,2023-11-12,silver3,4009,114,5,1,4,2,2,0
2023-11-05,2023-11-12,silver3,4005,114,5,1,4,2,1,0
2023-11-05,2023-11-12,silver3,4003,114,5,1,4,2,4,0
2023-11-05,2023-11-12,silver3,4007,114,5,1,4,2,5,4
2023-11-05,2023-11-12,silver3,4009,114,5,1,4,5,1,0
2023-11-05,2023-11-12,silver3,4006,114,5,2,1,4,1,0
2023-11-05,2023-11-12,silver3,4005,114,5,2,2,1,2,0
2023-11-05,2023-11-12,silver3,4008,114,5,2,2,1,2,2
2023-11-05,2023-11-12,silver3,4003,114,5,2,2,1,1,1
2023-11-05,2023-11-12,silver3,4009,114,5,2,4,2,1,0
2023-11-05,2023-11-12,silver3,4005,114,5,4,3,6,3,2
2023-11-05,2023-11-12,silver3,4008,114,5,4,3,6,1,1
2023-11-05,2023-11-12,silver3,4007,114,5,4,4,5,1,0
2023-11-05,2023-11-12,silver3,4009,115,1,3,5,6,2,0
2023-11-05,2023-11-12,silver3,4009,115,1,5,3,6,1,1
2023-11-05,2023-11-12,silver3,4008,115,2,1,5,2,1,0
2023-11-05,2023-11-12,silver3,4009,116,3,2,4,2,1,0
2023-11-05,2023-11-12,silver3,4008,117,1,3,2,3,2,0
2023-11-05,2023-11-12,silver3,4005,117,3,1,4,1,1,0
2023-11-05,2023-11-12,silver3,4006,118,5,2,3,5,1,0
2023-11-05,2023-11-12,silver3,4009,119,5,4,2,1,1,0
2023-11-05,2023-11-12,silver3,4007,119,5,4,2,1,1,0
2023-11-05,2023-11-12,silver3,4008,119,5,4,2,1,1,0
2023-11-05,2023-11-12,silver3,4006,120,5,3,6,3,1,1
2023-11-05,2023-11-12,silver3,4006,121,1,2,5,3,1,0
2023-11-05,2023-11-12,silver3,4005,122,3,5,2,1,1,0
2023-11-05,2023-11-12,silver3,4009,122,3,5,3,2,1,0
2023-11-05,2023-11-12,silver3,4003,122,3,5,3,2,1,0
2023-11-05,2023-11-12,silver3,4008,122,5,3,6,1,1,0
2023-11-05,2023-11-12,silver3,4005,123,1,2,1,5,1,0
2023-11-05,2023-11-12,silver3,4006,123,1,2,1,5,2,0
2023-11-05,2023-11-12,silver3,4005,123,1,2,5,3,1,1
2023-11-05,2023-11-12,silver3,4009,123,2,5,5,3,1,0
2023-11-05,2023-11-12,silver3,4008,123,2,5,6,1,2,1
2023-11-05,2023-11-12,silver3,4009,123,5,2,1,2,1,0
2023-11-05,2023-11-12,silver3,4007,123,5,2,1,2,1,0
2023-11-05,2023-11-12,silver3,4007,124,1,0,1,4,1,0
2023-11-05,2023-11-12,silver3,4009,124,1,2,2,1,1,0
2023-11-05,2023-11-12,silver3,4003,124,1,2,2,5,1,0
2023-11-05,2023-11-12,silver3,4008,124,1,2,2,5,2,0
