date_from,date_to,tier,map,legend,match_count,win_count,win_pct,abi1,abi2,abi3,abi4,abi5,abi0,e_blue,e_pink,e_yellow,e_green,e_red,e_gray
2023-11-05,2023-11-12,silver3,sunset,hook,1,0,0.0,0,0,1,1,0,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,night,hook,1,0,0.0,0,0,1,0,1,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,sunset,hook,1,0,0.0,0,1,0,1,0,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,night,hook,1,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,noon,hook,2,1,50.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,fac,hook,1,1,100.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,strato,hook,1,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,strato,hook,1,0,0.0,0,0,0,1,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,strato,hook,1,0,0.0,1,0,0,0,1,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,proto,hook,1,0,0.0,1,0,0,0,1,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,noon,hook,2,0,0.0,1,0,0,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,sunset,hook,1,0,0.0,1,0,0,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,fac,hook,1,0,0.0,0,1,0,0,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,sunset,hook,1,0,0.0,0,1,0,0,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,fac,hook,1,0,0.0,0,1,0,0,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,strato,hook,1,1,100.0,0,1,0,0,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,night,hook,1,0,0.0,0,1,0,0,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,proto,hook,1,0,0.0,0,1,0,0,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,strato,hook,1,0,0.0,0,0,1,0,1,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,night,hook,1,0,0.0,0,0,0,1,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,fac,hook,1,0,0.0,0,0,0,1,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,noon,hook,1,0,0.0,0,0,0,1,1,0,0,1,0,0,1,0
2023-11-05,2023-11-12,silver3,fac,hook,1,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,night,hook,2,2,100.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,noon,hook,1,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,sunset,hook,1,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,proto,hook,1,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,proto,alice,1,0,0.0,0,0,0,0,0,1,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,night,alice,2,0,0.0,0,0,0,0,0,1,1,0,0,1,0,0
2023-11-05,2023-11-12,silver3,sunset,alice,1,0,0.0,0,0,0,0,0,1,1,0,0,1,0,0
2023-11-05,2023-11-12,silver3,strato,alice,1,0,0.0,0,0,0,0,0,1,1,0,0,1,0,0
2023-11-05,2023-11-12,silver3,noon,alice,1,0,0.0,1,1,0,0,0,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,proto,alice,1,0,0.0,1,1,0,0,0,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,sunset,alice,1,0,0.0,1,1,0,0,0,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,sunset,alice,1,0,0.0,1,0,0,1,0,0,1,0,0,0,0,1
2023-11-05,2023-11-12,silver3,sunset,alice,1,0,0.0,1,0,0,0,1,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,proto,alice,2,1,50.0,1,1,0,0,0,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,night,alice,1,0,0.0,1,1,0,0,0,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,night,alice,1,0,0.0,0,0,1,1,0,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,strato,alice,1,0,0.0,0,0,0,1,1,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,night,alice,1,0,0.0,0,0,0,1,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,proto,alice,1,0,0.0,1,0,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,fac,alice,1,0,0.0,0,1,0,0,1,0,1,0,0,1,0,0
2023-11-05,2023-11-12,silver3,night,alice,1,0,0.0,0,0,1,0,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,sunset,cat,1,0,0.0,1,1,0,0,0,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,noon,cat,1,0,0.0,1,1,0,0,0,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,strato,cat,1,0,0.0,1,1,0,0,0,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,fac,cat,1,0,0.0,1,0,0,0,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,strato,cat,1,0,0.0,1,0,0,0,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,sunset,cat,1,0,0.0,1,0,0,0,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,proto,cat,2,0,0.0,1,0,0,0,1,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,strato,cat,1,0,0.0,1,0,0,0,1,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,sunset,cat,2,0,0.0,1,0,0,0,1,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,fac,cat,2,1,50.0,1,0,0,0,1,0,0,1,0,0,1,0
2023-11-05,2023-11-12,silver3,strato,cat,1,0,0.0,1,0,0,0,1,0,0,1,0,0,0,1
2023-11-05,2023-11-12,silver3,night,cat,1,0,0.0,1,1,0,0,0,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,fac,cat,1,0,0.0,1,1,0,0,0,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,strato,cat,1,0,0.0,0,1,0,0,1,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,noon,cat,1,0,0.0,1,0,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,sunset,cat,1,0,0.0,1,0,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,night,cat,1,0,0.0,0,1,0,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,noon,cat,1,1,100.0,0,1,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,strato,cat,1,0,0.0,0,0,1,0,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,strato,flare,1,1,100.0,1,0,0,1,0,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,sunset,wq,1,0,0.0,1,1,0,0,0,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,strato,wq,1,1,100.0,1,0,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,proto,wq,1,0,0.0,1,0,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,proto,wq,1,0,0.0,0,1,1,0,0,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,fac,wq,1,0,0.0,0,0,1,1,0,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,strato,wq,1,0,0.0,0,0,1,1,0,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,sunset,wq,1,0,0.0,0,0,1,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,noon,snow,1,0,0.0,1,1,0,0,0,0,1,0,0,1,0,0
2023-11-05,2023-11-12,silver3,noon,snow,1,0,0.0,0,1,0,0,1,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,night,ravi,1,0,0.0,1,0,0,0,1,0,0,1,0,0,1,0
2023-11-05,2023-11-12,silver3,sunset,ravi,1,0,0.0,1,0,0,0,1,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,noon,don,1,1,100.0,1,0,0,0,0,1,0,1,0,0,0,1
2023-11-05,2023-11-12,silver3,fac,don,1,0,0.0,1,0,0,0,0,1,0,1,0,0,0,1
2023-11-05,2023-11-12,silver3,night,don,1,1,100.0,1,0,0,0,0,1,0,1,0,0,0,1
2023-11-05,2023-11-12,silver3,strato,don,1,1,100.0,1,1,0,0,0,0,0,0,0,1,0,1
